author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Alonso de Madrid,Q5670348,Spain,,,literary,Catholicism,male
Aegidius Aureaevalensis,,,,,,,
"de Soto, Andreas",,,,,,,
Bernard of Clairvaux,Q188411,France,,philosophy,theologian,Catholic Church,male
,,,,theology,writer,,
,,,,monastic life,philosopher,,
,,,,,religious servant,,
,,,,,hymnwriter,,
,,,,,mystic,,
,,,,,religious,,
Bonaventure,Q43746,,University of Paris,theology,theologian,Catholic Church,male
,,,,administration and management of the church,father,,
,,,,scholasticism,philosopher,,
,,,,preaching,writer,,
,,,,Christian ministry,Roman Catholic clergyman,,
,,,,scientific writing,regular clergyman,,
,,,,philosophy,lecturer,,
,,,,Christian mysticism,university teacher,,
,,,,education,pastor,,
,,,,prayer,Christian nun,,
,,,,religious formation,mystic,,
,,,,,cardinal,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Bonaventure,Q43746,,University of Paris,theology,theologian,Catholic Church,male
,,,,administration and management of the church,father,,
,,,,scholasticism,philosopher,,
,,,,preaching,writer,,
,,,,Christian ministry,Roman Catholic clergyman,,
,,,,scientific writing,regular clergyman,,
,,,,philosophy,lecturer,,
,,,,Christian mysticism,university teacher,,
,,,,education,pastor,,
,,,,prayer,Christian nun,,
,,,,religious formation,mystic,,
,,,,,cardinal,,
Sixtus V,Q133350,Papal States,,,Catholic priest,Catholic Church,male
,,,,,Catholic deacon,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Joannes Baptista de Parma,,,,,,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Emperor Rudolf II,Q150586,Holy Roman Empire,,,politician,Catholic Church,male
,,Habsburg monarchy,,,art collector,,
Philip II of Spain,Q34417,Spain,,,ruler,,male
Henry IV of France,Q936976,Kingdom of France,,,politician,Catholic Church,male
,,,,,monarch,,
,,,,,military commander,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Paul V,Q132711,Papal States,University of Padua,,Latin Catholic priest,Catholic Church,male
,,,University of Bologna,,,,
,,,University of Perugia,,,,
Thomas ¨¤ Kempis,Q220976,,,philosophy,theologian,Catholic Church,male
,,,,,writer,,
,,,,,philosopher,,
,,,,,Catholic priest,,
,,,,,poet,,
Thomas Aquinas,Q9438,,University of Paris,philosophy,theologian,Catholicism,male
,,,University of Naples Federico II,theology,professor,,
,,,,,Latin Catholic priest,,
,,,,,philosopher,,
,,,,,writer,,
,,,,,Catholic theologian,,
,,,,,Catholic friar,,
Justinian I,Q41866,Byzantine Empire,,,legislator,Eastern Christianity,male
,,,,,politician,Chalcedonian Christianity,
,,,,,emperor,Christianity,
,,,,,writer,,
Clement VIII,Q170395,Papal States,University of Padua,,diplomat,Catholic Church,male
,,,University of Bologna,,cleric,,
,,,University of Perugia,,Catholic priest,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Ernest of Bavaria,Q62051,Germany,,,Catholic priest,Catholic Church,male
Thomas ¨¤ Kempis,Q220976,,,philosophy,theologian,Catholic Church,male
,,,,,writer,,
,,,,,philosopher,,
,,,,,Catholic priest,,
,,,,,poet,,
Pius V,Q131945,Papal States,University of Bologna,,cleric,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Thomas ¨¤ Kempis,Q220976,,,philosophy,theologian,Catholic Church,male
,,,,,writer,,
,,,,,philosopher,,
,,,,,Catholic priest,,
,,,,,poet,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Paul V,Q132711,Papal States,University of Padua,,Latin Catholic priest,Catholic Church,male
,,,University of Bologna,,,,
,,,University of Perugia,,,,
Philip III of Spain,Q34464,Spain,,,ruler,Catholic Church,male
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Philippus Guilielmus,,,,,,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Francis Xavier,Q163900,Kingdom of Navarre,University of Paris,,missionary,Catholic Church,male
,,Crown of Castile,Coll¨¨ge Sainte-Barbe,,writer,,
,,,,,explorer,,
,,,,,Latin Catholic priest,,
,,,,,regular clergyman,,
Ignatius of Loyola,Q44281,Kingdom of Castile,University of Paris,,military personnel,Catholic Church,male
,,Spain,Complutense University,,Latin Catholic priest,,
,,,Coll¨¨ge Sainte-Barbe,,regular clergyman,,
Albertus Magnus,Q60059,,University of Padua,philosophy,philosopher,Catholic Church,male
,,,University of Paris,,theologian,,
Francesco Longo,Q56006618,,,,presbyter,Catholic Church,male
Gregory XV,Q132692,Papal States,University of Bologna,,Latin Catholic priest,Catholic Church,male
,,,Pontifical Gregorian University,,,,
Urban VIII,Q131579,,University of Pisa,,cleric,Catholic Church,male
,,,Pontifical Gregorian University,,Catholic priest,Catholicism,
,,,,,patron of the arts,,
,,,,,writer,,
Gabriel van Antwerpen,,,,,,,
John of Ruysbroeck,Q920312,Duchy of Brabant,,,priest,Catholic Church,male
,,,,,writer,,
,,,,,chaplain,,
,,,,,mystic,,
Francis of Assisi,Q676555,,,theology,poet,Catholic Church,male
,,,,mysticism,Catholic deacon,Catholicism,
,,,,preaching,religious writer,,
,,,,poetry,writer,,
,,,,prayer,preacher,,
,,,,,missionary,,
,,,,,regular clergyman,,
,,,,,Roman Catholic clergyman,,
,,,,,organizational founder,,
,,,,,pilgrim,,
,,,,,theologian,,
,,,,,mystic,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Philip II of Spain,Q34417,Spain,,,ruler,,male
Ignatius of Loyola,Q44281,Kingdom of Castile,University of Paris,,military personnel,Catholic Church,male
,,Spain,Complutense University,,Latin Catholic priest,,
,,,Coll¨¨ge Sainte-Barbe,,regular clergyman,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
John Chrysostom,Q43706,Byzantine Empire,,,theologian,Eastern Orthodoxy,male
,,,,,writer,,
,,,,,presbyter,,
,,,,,Catholic deacon,,
,,,,,Catholic priest,,
Bernard of Clairvaux,Q188411,France,,philosophy,theologian,Catholic Church,male
,,,,theology,writer,,
,,,,monastic life,philosopher,,
,,,,,religious servant,,
,,,,,hymnwriter,,
,,,,,mystic,,
,,,,,religious,,
Clement VIII,Q170395,Papal States,University of Padua,,diplomat,Catholic Church,male
,,,University of Bologna,,cleric,,
,,,University of Perugia,,Catholic priest,,
Pius V,Q131945,Papal States,University of Bologna,,cleric,Catholic Church,male
,,,,,Catholic priest,,
Thomas Aquinas,Q9438,,University of Paris,philosophy,theologian,Catholicism,male
,,,University of Naples Federico II,theology,professor,,
,,,,,Latin Catholic priest,,
,,,,,philosopher,,
,,,,,writer,,
,,,,,Catholic theologian,,
,,,,,Catholic friar,,
Ignatius of Loyola,Q44281,Kingdom of Castile,University of Paris,,military personnel,Catholic Church,male
,,Spain,Complutense University,,Latin Catholic priest,,
,,,Coll¨¨ge Sainte-Barbe,,regular clergyman,,
Benedictus de Canfeldia,,,,,,,
Ignatius of Loyola,Q44281,Kingdom of Castile,University of Paris,,military personnel,Catholic Church,male
,,Spain,Complutense University,,Latin Catholic priest,,
,,,Coll¨¨ge Sainte-Barbe,,regular clergyman,,
Paul V,Q132711,Papal States,University of Padua,,Latin Catholic priest,Catholic Church,male
,,,University of Bologna,,,,
,,,University of Perugia,,,,
Alonso de Madrid,Q5670348,Spain,,,literary,Catholicism,male
Basilide d¡¯Ath,,,,,,,
Benedictus de Canfeldia,,,,,,,
Bernardino di Balbano,,,,,,,
"Albert VII, Archduke of Austria",Q311452,Archduchy of Austria,,,military personnel,Catholic Church,male
,,,,,Catholic priest,,
Archangelus Scotus$ $ $bI,,,,,,,
Faustinus van Diest,,,,,,,
